tag,estimator,variant,sigma_obs,sim_seed,est_seed,block,coverage,rung,cal_skill,cal_skill_sd,cal_pearson,cal_spearman,cal_sign_accuracy,n_split_seeds,n_params
oracle_nuisance,oracle,nuisance,0.15,13,114,rank2,0.2,lowrank,-0.0003477642916910051,0.0012922534125540557,0.020364733246278424,0.014706464067454208,0.5027915878038436,8,204
oracle_nuisance,oracle,nuisance,0.15,13,114,rank2,0.4,lowrank,-0.003579366521664684,0.0074989319992543185,0.02890133098488314,0.008544688942603563,0.4934457069609742,8,204
oracle_nuisance,oracle,nuisance,0.15,13,114,rank2,0.7,lowrank,-0.012348647559511927,0.03395232216227985,0.023217385329348562,0.004743945507589041,0.5071843528345213,8,204
oracle_nuisance,oracle,nuisance,0.15,14,115,rank2,0.05,lowrank,-0.10037134466616611,0.1362973760297186,-0.008700660676597218,-0.004474081245023629,0.48036329213218243,8,204
oracle_nuisance,oracle,nuisance,0.15,14,115,rank2,0.1,lowrank,-0.0071758476328053905,0.010424972961699332,0.01873694354792745,0.012977145385034397,0.535022431933392,8,204
oracle_nuisance,oracle,nuisance,0.15,14,115,rank2,0.2,lowrank,-0.004278475205380494,0.004978052320126943,0.007086656974405486,-0.012240242729438165,0.5140433641932709,8,204
oracle_nuisance,oracle,nuisance,0.15,14,115,rank2,0.4,lowrank,-0.000527613642296948,0.001041365227751524,0.02406239735139652,0.010761677834745362,0.49228132516220063,8,204
oracle_nuisance,oracle,nuisance,0.15,14,115,rank2,0.7,lowrank,-0.00014413806343244184,0.0009211517363888512,0.010177954257257356,0.014623695970583848,0.4889268357420888,8,204
oracle_nuisance,oracle,nuisance,0.15,15,116,rank2,0.05,lowrank,-0.09189558331846814,0.1574660083470338,-0.004240828297165553,-0.002792292015199561,0.4859972011261152,8,204
oracle_nuisance,oracle,nuisance,0.15,15,116,rank2,0.1,lowrank,-0.00700150139302301,0.009665403010988035,0.006167775486400874,0.014904518961629762,0.5165514643115455,8,204
