role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
amine,62,9,True,0.0367709882250096,0.0318379224135587,0.1341564654521743,0.210070496765041,test_e1n,primary,p0f4,0.1888888888888888,-0.0457988989964708,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,65,31,True,0.0024718839481943,0.0063973988408755,-1.588066015618891,0.0130666167433762,test_e1n,primary,p0f4,0.2156862745098039,0.0439366141757091,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,68,30,True,0.0285018874227658,0.0354581233369878,-0.2440622900175255,0.0119875912854745,test_e1n,primary,p0f4,0.2142857142857142,0.0045233120332616,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,69,52,True,0.0119353071480234,0.0117309830633747,0.0171192984072093,0.0693131476681601,test_e1n,primary,p0f4,0.1866666666666666,0.017168278519977,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,80,8,True,0.0451239946438812,0.0403181794788087,0.1065024318657968,0.2310084935822552,test_e1n,primary,p0f4,0.2058823529411764,-0.106092309786768,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,87,1,False,0.0626829331336364,0.0488982083483058,0.2199119297104739,,test_e1n,primary,p0f4,0.3243243243243243,0.2903991857074723,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,88,9,True,0.0209000336679924,0.0193350827988369,0.0748779113955306,0.0,test_e1n,primary,p0f4,0.2428571428571428,0.3247628793380459,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,89,15,True,0.136575335115093,0.1292740410308378,0.0534598291712214,0.2175619123704462,test_e1n,primary,p0f4,0.2857142857142857,-0.162039870607914,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,90,15,True,0.240506384898493,0.2385414032526069,0.0081701849483766,0.3478945071357668,test_e1n,primary,p0f4,0.3243243243243243,-0.1224839747612482,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,94,9,True,0.005801245469326,0.004725602061629,0.1854159444526962,0.0,test_e1n,primary,p0f4,0.1818181818181818,0.3247629203706577,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,97,9,True,0.1987866395933529,0.19814345860921,0.0032355342665812,0.1662615067028779,test_e1n,primary,p0f4,0.1666666666666666,-0.1024147730393503,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,101,36,True,0.0034252110204579,0.0008170344394025,0.7614644953193693,0.0101293769688849,test_e1n,primary,p0f4,0.4078947368421052,0.0349937543042437,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,105,43,True,0.0388351221778969,0.0256071079854678,0.3406198680625719,0.1522795610995847,test_e1n,primary,p0f4,0.4,0.0770820032673875,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,115,8,True,0.0019704635703044,0.005581721712168,-1.8326947000119809,0.0,test_e1n,primary,p0f4,0.1958762886597938,0.1120124914767313,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,123,13,True,0.0677890501230943,0.0617734862257162,0.088739462884563,0.2773182343029809,test_e1n,primary,p0f4,0.3478260869565217,0.0129728654293441,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,128,23,True,0.0399882704208629,0.0760314020489403,-0.9013425999358256,0.1722373300583025,test_e1n,primary,p0f4,0.2545454545454545,0.0331437965204843,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,130,26,True,0.0027018829806588,0.0032827962556434,-0.215003121579631,0.0,test_e1n,primary,p0f4,0.4482758620689655,0.0426140603237504,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,131,43,True,0.0078611320446277,0.0138080672242794,-0.756498573728422,0.0,test_e1n,primary,p0f4,0.3902439024390244,0.0538304858661934,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,134,53,True,0.0984197589580641,0.0768755974015975,0.2189007754595943,0.2378925431575893,test_e1n,primary,p0f4,0.3,-0.0679386680565845,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,138,9,True,0.0866714356036869,0.071638468715783,0.1734477660742052,0.0,test_e1n,primary,p0f4,0.1707317073170731,0.3247629203706577,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,141,47,True,0.0027790351459708,0.0040409457541248,-0.454082277434872,0.0336347211685351,test_e1n,primary,p0f4,0.4482758620689655,0.0438468350354209,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,151,9,True,0.0428806429039071,0.0408282271094399,0.0478634566899224,0.1165379242040022,test_e1n,primary,p0f4,0.1538461538461538,0.2564310995116359,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,157,9,True,0.0363697129603424,0.0327478297537038,0.0995851468662389,0.2038,test_e1n,primary,p0f4,0.1688311688311688,0.0122935092159828,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,167,25,True,0.2086651194809377,0.2473169724918954,-0.1852338958571779,0.3904936415615496,test_e1n,primary,p0f4,0.1842105263157894,-0.0476385681705071,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,169,41,True,0.1310330177036218,0.1326660584404519,-0.0124628186502111,0.3498506431670381,test_e1n,primary,p0f4,0.15625,-0.0830472245248303,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
