role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
amine,27,19,True,0.6653773943446588,0.6972699846961792,-0.0479315808180287,1.479409611901504,test_e1n,primary,p0f1,0.4358974358974359,0.0194059686847366,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,30,10,True,1.268021772591409,1.2701945331137316,-0.0017135041126954,1.8898161950566064,test_e1n,primary,p0f1,0.24,0.0056296272415021,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,34,10,True,1.0180883820793754,0.9836982318080404,0.033779140275715,1.1605273485841818,test_e1n,primary,p0f1,0.3513513513513513,-0.005896974996336,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,38,7,True,3.0122015149315553,2.7918880997687068,0.0731403307749331,1.6901031125040766,test_e1n,primary,p0f1,0.4772727272727273,0.0155725483537373,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,41,37,True,1.6369775375280962,1.513999752616477,0.0751249067823622,1.6613434005776182,test_e1n,primary,p0f1,0.3809523809523809,0.0136410742005665,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,48,8,True,0.736276197507241,0.7384668370777054,-0.0029752959254707,1.4798976590291997,test_e1n,primary,p0f1,0.2592592592592592,0.0016447219115326,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,57,8,True,3.5185053167254647,3.44848390033477,0.019900898275709,1.374221745354837,test_e1n,primary,p0f1,0.44,0.019684001897664,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,59,34,True,4.57895203573682,4.845030947291028,-0.0581091283502366,1.8844697365085812,test_e1n,primary,p0f1,0.71875,-0.0232045070609532,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,60,10,True,2.2289952496715273,2.178128334232462,0.0228205580279101,2.1151594872510704,test_e1n,primary,p0f1,0.1724137931034483,0.0029140324471507,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,83,16,True,2.5231608075492424,2.483892476963822,0.0155631501836626,1.037792198788806,test_e1n,primary,p0f1,0.53125,0.044633997057163,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,85,10,True,1.0480811898311924,1.175893303995283,-0.1219486766904733,1.2755178992569072,test_e1n,primary,p0f1,0.238095238095238,-0.0293947125961167,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,87,1,False,1.8595149699177005,1.512828592108054,0.1864391432272203,,test_e1n,primary,p0f1,0.3414634146341463,0.1885341576951753,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,90,29,True,1.8661913532934231,1.7405570713638945,0.0673212217534989,0.9151210679451348,test_e1n,primary,p0f1,0.3414634146341463,0.0406192682339413,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,104,10,True,1.6218385791410572,1.4441297370531283,0.1095724595366606,1.2062935134824295,test_e1n,primary,p0f1,0.2564102564102564,0.0145790318939007,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,106,78,True,1.4112452247355691,1.4545890761232816,-0.0307131961391287,1.4815335667504244,test_e1n,primary,p0f1,0.3333333333333333,-0.0013768934962052,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,107,35,True,2.991373245929577,2.9628106546023956,0.0095483207807809,1.2509495161069326,test_e1n,primary,p0f1,0.3157894736842105,0.0393006316541029,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,118,63,True,1.6944058282297396,1.8002588207053478,-0.0624720422416158,1.389269453376327,test_e1n,primary,p0f1,0.2972972972972973,-0.0362451798531762,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,124,38,True,4.208969332910865,4.029161560956659,0.0427201430403041,1.4427696668611227,test_e1n,primary,p0f1,0.3478260869565217,0.0315679422882125,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,125,14,True,1.971865029633072,2.128620198974817,-0.0794958919530683,1.959219330759166,test_e1n,primary,p0f1,0.3404255319148936,-0.020033432227372,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,128,35,True,1.2796199848056176,1.359155986536244,-0.0621559546389145,1.0882108684000569,test_e1n,primary,p0f1,0.2545454545454545,-0.0501209984300026,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,135,29,True,1.197573737998702,1.2552661435174144,-0.0481744077113146,1.4277208796242444,test_e1n,primary,p0f1,0.1904761904761904,-0.0108473282440182,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,137,30,True,2.50846457086469,2.6584916455641596,-0.0598083291436537,1.3831527268821682,test_e1n,primary,p0f1,0.1578947368421052,-0.0352157231042027,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,138,10,True,1.6735716603607125,1.6508644391387968,0.0135681200630639,1.9308601939229,test_e1n,primary,p0f1,0.1707317073170731,-0.0077258097459349,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,139,67,True,2.434838326155952,2.4459637452863308,-0.0045692640085648,1.498488014061318,test_e1n,primary,p0f1,0.2307692307692307,-0.0344028927112962,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,141,41,True,1.4240665009297329,1.4638341557043115,-0.0279254197389065,1.5248779944797397,test_e1n,primary,p0f1,0.3793103448275862,-0.0114317765032734,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,142,9,True,0.9442564107277228,0.9346204498726998,0.0102048138043319,1.5324770975442568,test_e1n,primary,p0f1,0.1702127659574468,-0.0078666835674325,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,153,18,True,2.7293889686448214,2.796978199352098,-0.0247635025581698,1.6287361526083617,test_e1n,primary,p0f1,0.1538461538461538,0.0045279645983318,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,157,10,True,4.457964119224003,4.356955459045492,0.0226580244876651,2.0714903220678806,test_e1n,primary,p0f1,0.1780821917808219,-0.0181358061535543,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,174,2,False,1.2860910917302222,1.4511753231870834,-0.1283612276909311,0.3970786263540737,test_e1n,primary,p0f1,0.1612903225806451,-0.080623710702262,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,177,82,True,2.091053719644716,1.9161680306449993,0.0836351966268139,1.6389435188264576,test_e1n,primary,p0f1,0.4411764705882353,0.0079694957506912,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,179,49,True,1.552265945046203,1.5649879422583364,-0.0081957587568892,1.8545922115270577,test_e1n,primary,p0f1,0.1923076923076923,0.0023972851470476,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,181,10,True,1.1746933421264834,1.15330265119042,0.0182095957889237,1.4911468614568544,test_e1n,primary,p0f1,0.2608695652173913,0.0026879957604712,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,184,9,True,5.39312459608373,5.5651098634992495,-0.031889726326814,1.1615878961764403,test_e1n,primary,p0f1,0.2142857142857142,-0.0290416022935615,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,187,44,True,3.163937304902104,3.207178508418336,-0.0136668964486861,1.4966614487895271,test_e1n,primary,p0f1,0.1896551724137931,-0.0297622792313894,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
