screen,drug,label,incremental_skill,skill_better,skill_base,max_sim_to_train,n_pairs,stratum
PANC1,56,Mercaptopurine,0.07811540636382219,0.03386265905953911,-0.04811712321682567,0.5333333333333333,270,high
PANC1,57,Methotrexate,0.09716656281513691,0.4257195499563253,0.3523453795968456,0.6527777777777778,270,high
PANC1,58,Methoxsalen,0.050745223200067247,0.13353039727263238,0.08695906341118231,0.12301587301587302,270,low
PANC1,59,Mitomycin C,-0.058809021986799825,-0.020939527867319712,0.03717447536448123,0.1393195521102498,270,low
PANC1,60,Mitotane; o;p'-DDD,0.07724818848857196,-0.00015059317039833875,-0.08561969385028152,0.125,270,low
PANC1,61,Mitoxantrone HCl,-0.015498104782708966,0.09878292608694905,0.11274339054810441,0.16666666666666666,270,low
PANC1,62,Nelarabine,-0.09164073606533063,-0.025336456347900344,0.05996548737716604,0.5157232704402516,270,medium
PANC1,63,Nilotinib,0.052227447967091334,0.13222482998614526,0.08505560319456858,0.4182872371074618,270,medium
PANC1,64,Oxaliplatin,-0.05621976661945771,0.3157904014386305,0.35191232303472947,0.21832358674463936,270,low
PANC1,65,Paclitaxel,0.10988845964253657,0.36404114692960216,0.2833847818934411,0.7676767676767676,270,high
PANC1,66,Pazopanib HCl,0.07200319914617492,-0.17219710228722027,-0.2646436239070988,0.25773195876288657,270,medium
PANC1,67,Pemetrexed Disodium,-0.12076772813316872,0.035798348640745305,0.13870254069425825,0.37804878048780494,270,medium
PANC1,68,Pentostatin,-0.08750458989106469,-0.18205885303883332,-0.086669151477118,0.46896955503512877,270,medium
PANC1,69,Pipobroman,0.0029088441382603136,-0.028596740510063962,-0.030389615061548136,0.1724137931034483,270,low
PANC1,70,Plicamycin,0.1068163946275541,0.09322097594452972,-0.013543506423118709,0.24003048006096014,270,medium
PANC1,71,Pralatrexate,0.1360914671285821,0.4416790183680952,0.3547809012332174,0.6527777777777778,270,high
PANC1,72,Procarbazine HCl,-0.014885931973458,0.338470407657423,0.3437607247071699,0.24074074074074073,270,medium
PANC1,73,Raloxifene HCl,0.03247414943658922,-0.1071076640500535,-0.14261720100858274,0.21126760563380284,270,low
PANC1,74,Romidepsin,-0.14310351044113823,0.3883089526081085,0.46480031983488007,0.14615384615384616,270,low
PANC1,75,Sirolimus (Rapamycin),0.43900990600916634,0.6496663878585897,0.3788725432596218,0.8727272727272727,270,high
PANC1,76,Streptozocin,-0.06774084392773028,-0.05076981728720997,0.015427169087925666,0.2413793103448276,270,medium
PANC1,77,Sunitinib Malate,0.06301202979761666,0.025414202004291158,-0.03590440031641232,0.15527777777777776,270,low
PANC1,78,Tamoxifen Citrate,0.13841910164333782,0.32022430318463774,0.2055871582407006,0.19441649899396377,270,low
PANC1,79,Temozolomide,0.03413660555520437,0.2331829586251646,0.20304508381301956,0.1835071707953064,270,low
PANC1,80,Teniposide,0.17877568735096971,0.4167398382288306,0.2870085182320135,0.7530864197530865,270,high
PANC1,81,Thalidomide,0.16802287412154404,-0.07428308320631187,-0.29250872860561555,0.5454545454545454,270,high
PANC1,82,Thioguanine,0.0008192933299222549,-0.8668212399127739,-0.8689939949325559,0.5333333333333333,270,high
PANC1,83,Thiotepa,0.04565536791408131,0.23762140257224393,0.2022011251369288,0.15,270,low
PANC1,84,Topotecan HCl,0.12152313399392412,0.3621510932678364,0.2758770491143496,0.5161290322580645,270,high
PANC1,85,Tretinoin,-0.08648888147180189,0.06476686369616506,0.1404723985250457,0.16,270,low
PANC1,86,Triethylenemelamine,-0.0026685494219789163,0.3038485433899993,0.30575226801215943,0.15,270,low
PANC1,87,Uracil mustard,-0.18838589597586042,-0.04414670921794872,0.121790146951637,0.3495827843653931,270,medium
PANC1,88,Vemurafenib,-0.1695507149836022,0.17372673908145675,0.29241724391651064,0.2110091743119266,270,low
PANC1,89,Vinblastine Sulfate,0.2777891242418584,0.5676685074713853,0.40500886831670546,0.8352430100002916,270,high
PANC1,90,Vincristine Sulfate,0.5463525954250301,0.7136974034282632,0.3691896570573843,0.883495145631068,270,high
PANC1,91,Vinorelbine Tartrate,0.35979891498179284,0.53915816953173,0.282835075517309,0.7100066167862779,270,high
PANC1,92,Vismodegib,-0.061891741777323483,0.141226077573518,0.19177611940095343,0.2692307692307692,270,medium
PANC1,93,Vorinostat,0.06824642624551425,0.09054708627460994,0.025043910450969837,0.2133200354609929,270,low
PANC1,94,Zoledronic Acid,0.11653182594353217,0.08554506553570644,-0.033955037901622166,0.14925373134328357,270,low
PANC1,95,abiraterone,0.0032451694729511704,-0.028248156135171027,-0.031165809341406076,0.20779727095516567,270,low
PANC1,96,carfilzomib,0.08986126970745878,0.19983360142411466,0.11902971899587833,0.3176470588235294,270,medium
PANC1,97,sorafenib,0.051517831470015985,-0.08522888451088151,-0.14459895404346698,0.2692307692307692,270,medium
PANC1,98,valrubicin,0.13970339011436195,0.5156959521671945,0.43936156204056886,0.6161616161616161,270,high
PANC1,99,vandetanib,0.03598560518943328,0.34635454751711886,0.32265154664048984,0.4444444444444444,270,medium
