screen,model,drug,label,n_folds,n_pairs,mse,mse_zero,skill,pearson,max_sim_to_train,median_sim_to_train,bits_set,stratum
PANC1,pair_only,23,Cytarabine; Ara-C,3,270,0.07164790173023507,0.07383334202700549,0.02957010316102578,0.21360831119245283,0.6310185185185185,0.09464066016504126,37,high
PANC1,pair_only,24,Dacarbazine,3,270,0.014286436852172006,0.011048742966776366,-0.2865288164151309,0.2153108845133055,0.20094760312151616,0.08050745077706396,31,low
PANC1,pair_only,25,Dactinomycin,3,270,0.03475546732500688,0.044871829986943966,0.22670686553163935,0.5238432588965023,0.18052333557833822,0.09936411144052437,90,low
PANC1,pair_only,26,Dasatinib,3,270,0.014403157384575828,0.017340915131417226,0.17254944272427467,0.4293716908743739,0.24649859943977592,0.09500465989788809,65,medium
PANC1,pair_only,27,Daunorubicin HCl,3,270,0.020142615694415594,0.03962988104149767,0.49073119929760417,0.7445822754578968,0.8533333333333334,0.08879196051030487,68,high
PANC1,pair_only,28,Decitabine,3,270,0.029511235795061163,0.0431357861902034,0.31661551440815444,0.6168370661879695,0.6000267630135153,0.10240322230778805,39,high
PANC1,pair_only,29,Dexrazoxane HCl,3,270,0.021806945512987747,0.01739360743115105,-0.2545561200800664,-0.05017823479967051,0.20000000000000004,0.07881374699002408,25,low
PANC1,pair_only,30,Docetaxel,3,270,0.021275818445278764,0.0517993716171439,0.5872975684430822,0.7569612299888169,0.783945061172784,0.08136703330406862,89,high
PANC1,pair_only,31,Doxorubicin HCl,3,270,0.0189484908764688,0.04372505476362745,0.5731716801712858,0.7595893380080545,0.8533333333333334,0.09155104319702269,71,high
PANC1,pair_only,32,Erlotinib HCl,3,270,0.032576354696172885,0.04060070553618688,0.1976457391545935,0.6345089099235451,0.3830409356725146,0.0723025495057817,47,medium
PANC1,pair_only,33,Estramustine phosphate,3,270,0.046745863562258315,0.03597019540244715,-0.298010472126013,0.021854909288374396,0.22321036451471232,0.09711835804658255,61,low
PANC1,pair_only,34,Etoposide,3,270,0.016399528572297938,0.026385017857426484,0.37800286388050086,0.672094920407592,0.7530864197530865,0.07444570510854832,66,high
PANC1,pair_only,35,Everolimus,3,270,0.01431372430054053,0.03648062470318,0.6082674763545914,0.7812976364609217,0.8727272727272727,0.07018122661328084,106,high
PANC1,pair_only,36,Exemestane,3,270,0.014042467073583663,0.014559234373897773,0.035597573935080486,0.2871538980641177,0.21043771043771042,0.06498363721365125,41,low
