tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
primary,PANC1,ecfp4,1.0,p1f1,1,1,lowrank,5641,False,0.019967741347003864,0.02091851899099449,0.04545147982990283,0.2897616003011799,0.3058039989349781,0.10723373486546606,0.14130725864938384,0.7142857142857143,900
primary,PANC1,ecfp4,1.0,p1f0,1,0,lowrank,10063,False,0.020801132215610463,0.027432718801517552,0.24174004165931362,0.4978277811438331,0.3790741799269711,0.1091509209957082,0.14422597621652788,0.7010309278350515,900
primary,PANC1,ecfp4,1.0,p1f2,1,2,lowrank,9901,False,0.024849309316955906,0.03040743175718888,0.18278828954105708,0.4315519563484639,0.370998844854541,0.11319676276698482,0.15763663697553276,0.7208672086720868,900
primary,PANC1,ecfp4,1.0,p1f7,1,7,lowrank,5636,False,0.017067680632408974,0.0218350519290979,0.21833569767406025,0.46751193451155804,0.4511547133597285,0.09310046114809747,0.13064333366999242,0.7934426229508197,900
primary,PANC1,ecfp4,1.0,p1f4,1,4,lowrank,10432,False,0.022627301532291103,0.02731628596918432,0.1716552697604239,0.44457914445250846,0.4412614501170167,0.10426910286961934,0.15042373992256375,0.7529411764705882,900
primary,PANC1,ecfp4,1.0,p1f3,1,3,lowrank,5646,False,0.022904798288929485,0.030656623999705274,0.2528597314189036,0.5496347800995312,0.5017011317367928,0.1063282487588789,0.1513433126666966,0.8161559888579387,900
primary,PANC1,ecfp4,1.0,p1f5,1,5,lowrank,3217,False,0.024113352041415657,0.026007291032509944,0.07282338590077697,0.29523701930622814,0.25897176004744044,0.11567765751905505,0.15528474503767475,0.6541554959785523,900
primary,PANC1,ecfp4,1.0,p1f6,1,6,lowrank,10306,False,0.020370252068751253,0.030523517667894462,0.33263746693988394,0.5893689105294875,0.5216103888194101,0.10119473634077301,0.14272439198942574,0.800531914893617,900
primary,PANC1,ecfp4,1.0,p1f8,1,8,lowrank,3343,False,0.020172400969947057,0.024437584977479818,0.17453377702679262,0.44152016772938296,0.3457339576962441,0.10535332514160839,0.14202957779965078,0.7011494252873564,900
primary,PANC1,ecfp4,1.0,p1f9,1,9,lowrank,10333,False,0.018303267278108683,0.025946232722537765,0.2945693706736141,0.5445948957738187,0.40915052981546896,0.09906687775791205,0.13528956825309438,0.7035040431266847,900
primary,PANC1,ecfp4,1.0,p2f3,2,3,lowrank,73572,False,0.023872197008434393,0.02905869590609975,0.17848353946870177,0.415522107355052,0.37935793336370377,0.11729546350272418,0.1545063008696875,0.733502538071066,900
primary,PANC1,ecfp4,1.0,p2f1,2,1,lowrank,71908,False,0.03085752854161788,0.03275095623418235,0.05781289801206746,0.37852431426370114,0.3398605512681703,0.11833982473933702,0.17566311093003528,0.688,900
primary,PANC1,ecfp4,1.0,p2f2,2,2,lowrank,10252,False,0.019191187952760334,0.018623265551765307,-0.030495317774233976,0.1581594247392885,0.15776829354110317,0.10077460796494926,0.138532263219657,0.5800604229607251,900
primary,PANC1,ecfp4,1.0,p2f0,2,0,lowrank,3373,False,0.019603176097741985,0.031469806069913,0.3770798569844451,0.6207955225759691,0.5194374643260877,0.10462195053976213,0.14001134274672886,0.7842639593908629,900
primary,PANC1,ecfp4,1.0,p2f4,2,4,lowrank,9901,False,0.022087918812291083,0.030239084856213513,0.26955729919344873,0.5199267399369658,0.4823252538994905,0.11070747073822673,0.14862004848704324,0.7741935483870968,900
primary,PANC1,ecfp4,1.0,p2f5,2,5,lowrank,10063,False,0.015117729742558329,0.019139752527324742,0.21013974862132612,0.46173655328657065,0.37271227906865734,0.09126203992481674,0.12295417740995354,0.7859531772575251,900
primary,PANC1,ecfp4,1.0,p2f6,2,6,lowrank,10288,False,0.022285975134083865,0.026697292053530695,0.16523462044771076,0.40728910578294303,0.356207781326479,0.10333907723058297,0.1492848791207062,0.7087087087087087,900
primary,PANC1,ecfp4,1.0,p2f8,2,8,lowrank,3277,False,0.018416690811979806,0.025836959093666394,0.28719588302888066,0.5678664614957974,0.4837313132485349,0.09997633425807206,0.13570810886597678,0.7480719794344473,900
primary,PANC1,ecfp4,1.0,p2f7,2,7,lowrank,10189,False,0.017055899107685964,0.017048997629035716,-0.0004048026048459885,0.3298536141959336,0.3137880252527061,0.0982607328690666,0.13059823546926644,0.6746268656716418,900
primary,PANC1,ecfp4,1.0,p2f9,2,9,lowrank,9964,False,0.027257649626628078,0.031722466875517746,0.1407462183319499,0.38110504170286014,0.2747756149493189,0.11973759341853751,0.16509890861731363,0.6038781163434903,900
primary,PANC1,ecfp4,1.0,p0f0,0,0,antisym_mlp,36032,False,0.01922250584891522,0.02475102825608407,0.22336536284345598,0.4724608988129412,0.4165466541728241,0.10345734123703826,0.13864525180804144,0.7240437158469946,900
